Provider,Tier,Latest Version,Latest Version Published,Created At,Days Since Update,,Protocol v4,Protocol v5,Protocol v6,,Cohort: Framework only,Cohort: SDKv2 only,Cohort: Framework+SDKv2,,Managed Resources,Resource Identities,Data Sources,Ephemeral Resources,List Resources,Actions,Provider Functions,Guides,Total Features,,Downloads,Version Count,Subcategories
hashicorp/aws,official,6.47.0,2026-05-27,,0,,,✅,✅,,,,✅,,"1,657",0,660,10,140,11,4,11,"2,482",,6.3B,489,253
hashicorp/random,official,3.9.0,2026-05-13,,15,,,✅,,,,✅,,,10,0,0,2,0,0,0,0,12,,2.6B,40,0
hashicorp/null,official,3.3.0,2026-05-13,,15,,,✅,,,,✅,,,1,0,1,0,0,0,0,1,2,,2.0B,16,0
hashicorp/google,official,7.34.0,2026-05-27,,0,,,✅,✅,,,,✅,,"1,087",0,461,6,3,0,6,19,"1,563",,2.0B,410,173
hashicorp/azurerm,official,4.74.0,2026-05-21,,6,,,✅,✅,,,,✅,,"1,128",0,397,2,58,5,2,12,"1,592",,1.6B,392,115
hashicorp/kubernetes,official,3.1.0,2026-04-16,,41,,,✅,✅,,,,✅,,83,0,27,2,0,0,3,5,115,,1.3B,92,24
hashicorp/template,official,2.2.0,2020-10-08,,2057,,✅,✅,,,,✅,,,1,0,2,0,0,0,0,0,3,,1.1B,8,0
hashicorp/google-beta,official,7.34.0,2026-05-27,,0,,,✅,✅,,,,✅,,"1,087",0,461,6,3,0,6,19,"1,563",,1.0B,382,173
hashicorp/local,official,2.9.0,2026-05-13,,15,,,✅,,,,✅,,,2,0,3,1,0,1,1,0,8,,987.8M,27,0
hashicorp/time,official,0.14.0,2026-05-13,,15,,,✅,,,,✅,,,4,0,0,0,0,0,3,0,7,,967.3M,20,0
hashicorp/external,official,2.4.0,2026-05-13,,15,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,850.2M,20,0
hashicorp/tls,official,4.3.0,2026-05-13,,15,,,✅,,,,✅,,,4,0,2,2,0,0,0,0,8,,801.5M,27,0
hashicorp/vault,official,5.9.0,2026-04-22,,35,,,✅,✅,,,,✅,,188,0,48,16,0,0,0,8,252,,740.6M,105,0
hashicorp/archive,official,2.8.0,2026-05-13,,15,,,✅,,,,✅,,,1,0,1,0,0,0,0,0,2,,662.4M,23,0
hashicorp/helm,official,3.1.2,2026-05-21,,6,,,✅,✅,,,,✅,,1,0,1,0,0,0,0,2,2,,607.2M,65,0
hashicorp/azuread,official,3.8.0,2026-02-19,,97,,,✅,✅,,,,✅,,54,0,20,0,0,0,0,8,74,,597.1M,100,19
DataDog/datadog,partner,4.10.0,2026-05-20,,7,,,,✅,,✅,,,,136,0,79,0,0,0,0,4,215,,430.3M,134,0
