Provider,Tier,Latest Version,Latest Version Published,Created At,Days Since Update,,Protocol v4,Protocol v5,Protocol v6,,Cohort: Framework only,Cohort: SDKv2 only,Cohort: Framework+SDKv2,,Managed Resources,Resource Identities,Data Sources,Ephemeral Resources,List Resources,Actions,Provider Functions,Guides,Total Features,,Downloads,Version Count,Subcategories
TOTAL,,,,,,,8,4021,2500,,2471,3996,29,,"191,409",0,"108,618",282,1488,267,1012,4134,"303,076",,31.5B,75121,21031
0011blindmice/argocd,community,1.0.3,2024-05-10,2024-05-09,737,,,✅,,,,✅,,,10,0,1,0,0,0,0,0,11,,35.8K,4,0
01Joseph-Hwang10/mongodb,community,0.5.0,2025-04-02,2024-05-08,410,,,,✅,,✅,,,,4,0,7,0,0,0,0,0,11,,3.5K,10,0
0UserName/rabbitmq,community,1.9.1,2023-06-05,2022-04-27,1077,,,✅,,,,✅,,,12,0,4,0,0,0,0,1,16,,120.2K,4,0
0x2b3bfa0/xpd,community,0.2.22,2021-11-23,2021-10-25,1636,,,✅,,,,✅,,,1,0,0,0,0,0,0,2,1,,42.3K,25,1
0x4c6565/leeio,community,1.0.1,2025-01-03,2025-01-03,499,,,,✅,,✅,,,,0,0,1,0,0,0,0,0,1,,362,2,0
0x6a77/flux,community,0.25.3,2023-03-26,2023-03-01,1148,,,✅,,,,✅,,,1,0,2,0,0,0,0,8,3,,3.2K,2,0
0xDEADEAD/elasticsearch,community,1.57.0-beta3,2021-06-18,2021-06-18,1794,,,✅,,,,✅,,,21,0,2,0,0,0,0,0,23,,8.1K,2,3
0xfrej/akeneo,community,0.5.0,2024-11-29,2024-03-05,534,,,,✅,,✅,,,,9,0,0,0,0,0,0,0,9,,3.5K,5,0
131/appscan,community,0.1.0,2025-02-21,2025-02-21,450,,,,✅,,✅,,,,1,0,3,0,0,0,0,0,4,,751,3,0
131/ovh,community,2.6.1,2025-08-04,2025-01-30,286,,,✅,,,,✅,,,138,0,163,0,0,0,0,1,301,,978,6,34
131/vault,community,0.2.2,2026-01-13,2024-11-28,124,,,✅,,,,✅,,,160,0,45,8,0,0,0,8,213,,1.3K,8,0
1898andCo/armis-centrix,community,1.2.0,2026-03-13,2025-03-25,65,,,,✅,,✅,,,,5,0,9,0,0,0,0,0,14,,76.6K,44,0
1Password/onepassword,partner-premier,3.3.1,2026-03-19,2021-04-09,59,,,,✅,,✅,,,,1,0,3,1,0,0,0,0,5,,38.6M,33,0
239y54sngfnjksfg/terraprovider,community,1.0.7,2024-11-14,2024-11-14,549,,,,✅,,✅,,,,0,0,0,0,0,0,0,0,0,,787,4,0
2ttech/sealedsecret,community,0.1.0,2022-01-13,2022-01-13,1585,,,✅,,,,✅,,,2,0,0,0,0,0,0,0,2,,25.2K,1,0
2tvenom/keycloakwebhook,community,0.2.0,2023-11-13,2023-11-13,916,,,,✅,,✅,,,,1,0,1,0,0,0,0,0,2,,46.6K,2,0
3191110276/appdynamics,community,0.1.1,2021-02-04,2021-01-28,1928,,,✅,,,,✅,,,3,0,0,0,0,0,0,0,3,,141.9K,82,0
360build/blobleas,community,0.0.5,2025-08-27,2025-08-27,263,,,,✅,,✅,,,,1,0,0,0,0,0,0,0,1,,1.1K,5,0
360build/vault-assist,community,0.0.4,2025-06-19,2025-02-17,332,,,,✅,,✅,,,,2,0,0,0,0,0,0,0,2,,714,5,0
360build/vaultassist,community,0.0.4,2025-06-19,2025-06-19,332,,,,✅,,✅,,,,2,0,0,0,0,0,0,0,2,,304,2,0
365talents/mixpanel,community,1.2.1,2024-09-16,2024-07-31,608,,,,✅,,✅,,,,1,0,1,0,0,0,0,0,2,,4.7K,4,0
3lvia/confluent-schema-registry,community,0.8.2,2022-05-30,2022-05-30,1448,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,52.5K,1,0
3lvia/dbt,community,0.3.0,2025-06-24,2022-09-07,327,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,7.7K,4,0
3lvia/elvid,community,2.1.2,2026-04-09,2021-01-07,38,,,,✅,,✅,,,,3,0,0,0,0,0,0,0,3,,1.4M,19,0
3lvia/restapi,community,1.17.3,2022-01-07,2022-01-07,1591,,,✅,,,,✅,,,1,0,1,0,0,0,0,0,2,,18.3K,1,0
3rein/data-utils,community,0.0.7,2021-04-30,2021-04-30,1843,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,4.6K,1,0
3rein/k3d,community,0.0.4,2021-05-25,2021-05-20,1818,,,✅,,,,✅,,,3,0,3,0,0,0,0,0,6,,5.9K,2,0
4ek0/neko,community,0.2.5,2026-01-05,2026-01-05,132,,,,✅,,✅,,,,1,0,1,1,0,1,1,0,5,,169,2,0
4gsim/kubectl,community,1.14.1,2022-07-22,2022-07-22,1395,,,✅,,,,✅,,,2,0,4,0,0,0,0,0,6,,2.9K,1,0
4thel00z/sql,community,0.1.7,2022-11-06,2022-11-06,1288,,,✅,,,,✅,,,2,0,2,0,0,0,0,0,4,,2.6K,4,0
58231/grafana,community,0.0.2,2020-08-19,2020-08-19,2097,,,✅,,,,✅,,,5,0,0,0,0,0,0,0,5,,3.6K,1,0
6connect/provision6connect,community,0.1.3,2023-01-13,2023-01-13,1220,,,,✅,,✅,,,,6,0,7,0,0,0,0,0,13,,3.3K,3,0
76creates/cloudflare,community,4.41.1,2024-09-11,2024-09-11,613,,,,✅,,✅,,,,162,0,30,0,0,0,0,3,192,,747,3,0
76creates/oryketo,community,0.1.1,2023-09-19,2023-09-19,971,,,✅,,,,✅,,,1,0,2,0,0,0,0,0,3,,2.2K,2,0
7fELF/consul,community,2.20.1,2023-12-06,2023-12-06,893,,✅,✅,,,,✅,,,32,0,20,0,0,0,0,1,52,,1.2K,1,0
7fELF/vault-secrets-as-code,community,0.0.2,2025-03-05,2025-03-03,438,,,,✅,,✅,,,,0,0,0,0,0,0,0,0,0,,167,2,0
a-d-v/netbox,community,0.9.5,2021-07-14,2021-05-02,1768,,,✅,,,,✅,,,7,0,6,0,0,0,0,0,13,,242.0K,6,0
a0s/bitbucket,community,1.4.2,2022-03-30,2021-06-30,1509,,,✅,,,,✅,,,8,0,1,0,0,0,0,0,9,,108.6K,5,0
a0s/bitbucket-drfaust92,community,2.4.1-patch2,2022-02-02,2022-02-01,1565,,,✅,,,,✅,,,10,0,2,0,0,0,0,0,12,,4.9K,2,0
a0s/kubernetes-awaiter,community,0.2.1,2023-07-28,2021-02-11,1024,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,3.6K,3,0
a0s/postgresql,community,1.14.0-jumphost-1,2021-11-08,2021-11-08,1651,,,✅,,,,✅,,,9,0,0,0,0,0,0,0,9,,30.3K,1,0
a10networks/thunder,partner,1.5.0,2025-12-19,2020-10-09,149,,,✅,,,,✅,,,"2,633",0,993,0,0,0,0,4,"3,626",,122.6K,53,1
a10networks/vthunder,partner,1.5.0,2025-12-19,2020-09-25,149,,,✅,,,,✅,,,"2,633",0,993,0,0,0,0,4,"3,626",,103.0K,52,1
a2m1/azurerm,community,2.100.0,2023-01-13,2023-01-13,1220,,,✅,,,,✅,,,777,0,236,0,0,0,0,9,"1,013",,3.5K,1,87
A3TechSlayer/hashicup,community,3.0.5,2023-12-09,2023-12-09,890,,,,✅,,✅,,,,1,0,1,0,0,0,0,0,2,,1.5K,1,0
a474134/example,community,0.1.0,2026-02-12,2026-02-12,94,,,,✅,,✅,,,,0,0,0,0,0,0,0,0,0,,75,1,0
aaaaahaaaaa/metabase,community,0.2.4,2021-12-10,2021-12-10,1619,,,✅,,,,✅,,,1,0,2,0,0,0,0,0,3,,10.2K,1,0
aabed/hashicups,community,0.3.1,2024-02-02,2024-02-02,835,,,,✅,,✅,,,,1,0,1,0,0,0,0,0,2,,1.9K,1,0
aaearon/cyberarksia,community,0.3.0,2025-11-27,2025-10-30,171,,,✅,,,,✅,,,10,0,2,0,0,0,0,0,12,,381,4,0
aahad91/pingdom,community,1.1.5,2022-04-11,2021-11-23,1497,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,12.3K,2,0
aalekhpatel07/vastai,community,0.1.3,2024-02-25,2024-02-25,812,,,,✅,,✅,,,,1,0,1,0,0,0,0,0,2,,2.0K,3,0
aanogueira/sftpgo,community,0.1.2,2024-02-23,2024-02-20,814,,,,✅,,✅,,,,10,0,10,0,0,0,0,0,20,,10.0K,18,0
aaronfeng/aws,community,3.29.6,2021-02-20,2021-02-20,1912,,,✅,,,,✅,,,678,0,232,0,0,0,0,4,910,,5.1M,6,128
AaronForce1/kubectl,community,1.20.0-rc1,2026-04-11,2026-04-11,36,,,✅,,,,✅,,,2,0,5,0,0,0,0,0,7,,88,2,0
aaronstillwell/dokku,community,0.5.3,2025-11-24,2021-07-20,174,,,✅,,,,✅,,,9,0,0,0,0,0,0,0,9,,19.6K,15,0
abagayev/forwardemail,community,1.1.1,2023-10-29,2023-10-20,931,,,✅,,,,✅,,,2,0,1,0,0,0,0,0,3,,3.0K,3,0
aballiet/airbyte-oss,community,1.2.3,2025-06-01,2023-07-29,350,,,,✅,,✅,,,,8,0,8,0,0,0,0,0,16,,48.4K,13,0
abbeylabs/abbey,partner,0.2.9,2024-04-01,2023-02-21,776,,,,✅,,✅,,,,3,0,0,0,0,0,0,0,3,,68.0K,54,0
abdallah/pulsechecks,community,0.1.0,2026-04-03,2026-04-03,44,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,56,1,0
abergmeier/buildkit,community,0.0.2,2022-09-19,2022-09-19,1336,,,,✅,,✅,,,,0,0,0,0,0,0,0,0,0,,2.3K,1,0
abergmeier/dbussecretservice,community,0.0.6,2021-02-24,2021-02-23,1908,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,9.2K,8,0
abergmeier/exasol,community,0.0.26,2022-02-17,2020-08-19,1550,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,44.3K,23,0
abergmeier/hash,community,0.0.1,2021-12-08,2021-12-08,1621,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,2.8K,1,0
abergmeier/oauth,community,0.0.22,2021-11-11,2021-09-30,1648,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,39.6K,21,0
abergmeier/skopeo,community,0.0.4,2021-12-26,2021-11-28,1603,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,121.7K,4,0
abh80/docker,community,1.0.1,2024-01-11,2024-01-11,857,,,✅,,,,✅,,,10,0,5,0,0,0,0,0,15,,6.7K,2,0
abh80/vagrant,community,1.0.3,2024-01-05,2024-01-05,863,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,2.2K,3,0
abhisheksingh3897/wrike,community,4.0.5,2021-06-24,2021-06-09,1788,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,7.7K,4,0
abicky/azurekv,community,0.1.1,2025-09-20,2025-08-25,239,,,,✅,,✅,,,,1,0,1,0,0,0,0,0,2,,3.9K,2,0
abihf/wol,community,0.1.2,2022-07-11,2022-07-11,1406,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,1.9K,1,0
abiondevelopment/abion,community,1.1.0,2025-01-24,2024-11-28,478,,,,✅,,✅,,,,9,0,9,0,0,0,0,0,18,,1.6K,4,0
abirajvp/abiraj,community,2.3.9,2025-04-23,2024-10-09,389,,,✅,,,,✅,,,0,0,5,0,0,0,0,0,5,,5.4K,25,0
AbirHamzi/artifactory,community,1.0.11,2023-12-15,2023-12-08,884,,,✅,,,,✅,,,174,0,128,0,0,0,0,4,302,,8.6K,10,9
ably/ably,partner,1.0.0,2026-04-10,2022-09-02,37,,,,✅,,✅,,,,19,0,0,0,0,0,0,0,19,,268.5K,19,0
abrhacom/abrha,community,1.3.3,2025-10-28,2025-03-01,201,,,✅,,,,✅,,,7,0,13,0,0,0,0,0,20,,1.3K,6,4
academicwork/constellix,community,0.4.6,2023-08-08,2022-02-01,1013,,,✅,,,,✅,,,29,0,29,0,0,0,0,0,58,,7.1K,3,0
academicwork/netbox,community,1.0.0,2021-11-19,2021-11-19,1640,,,✅,,,,✅,,,1,0,1,0,0,0,0,0,2,,11.2K,6,0
